threshold	alignment_size	SNPs
95	8500	1900569
95	8250	1900809
95	8000	1899945
95	7750	1897479
95	7500	1897855
95	7250	1897351
95	7000	1897798
95	6750	1898812
95	6500	1897218
95	6250	1897118
95	6000	1899314
95	5750	1899831
95	5500	1898770
95	5250	1897416
95	5000	1899957
95	4750	1900697
95	4500	1901387
95	4250	1900964
95	4000	1901788
95	3750	1901620
95	3500	1901626
95	3250	1901049
95	3000	1901809
95	2750	1901706
95	2500	1902002
95	2250	1901298
95	2000	1902329
95	1750	1900969
95	1500	1901235
95	1250	1900263
95	1000	1900328
95	750	1896679
95	500	1902386
95	250	1902935
95	100	1901226
95	75	1892189
95	50	1901960
95	25	1906324
95	10000	1900799
95	9750	1901119
95	9500	1901001
95	9250	1901026
95	9000	1901079
95	8750	1901070
95	8500	1900994
95	8250	1901118
95	8000	1901265
95	7750	1901191
95	7500	1901204
95	7250	1901324
95	7000	1901441
95	6750	1901449
95	6500	1901281
95	6250	1900967
95	6000	1900845
95	5750	1900175
95	5500	1901126
95	5250	1901119
95	5000	1901074
95	4750	1900746
95	4500	1898487
95	4250	1897689
95	4000	1897747
95	3750	1897484
95	3500	1897831
95	3250	1897780
95	3000	1898055
95	2750	1898139
95	2500	1898253
95	2250	1897924
95	2000	1897950
95	1750	1898483
95	1500	1898793
95	1250	1899254
95	1000	1900326
95	750	1900622
95	500	1902108
95	250	1904066
95	100	1911285
95	75	1903407
95	50	1902540
95	25	1922201
95	10000	1900881
95	9750	1900517
95	9500	1900120
95	9250	1900266
95	9000	1900383
95	8750	1900271
95	8500	1900901
95	8250	1900735
95	8000	1900921
95	7750	1900723
95	7500	1900780
95	7250	1900453
95	7000	1900943
95	6750	1900875
95	6500	1901247
95	6250	1900980
95	6000	1900770
95	5750	1900675
95	5500	1900841
95	5250	1900930
95	5000	1901042
95	4750	1900381
95	4500	1901246
95	4250	1901090
95	4000	1900363
95	3750	1901002
95	3500	1900333
95	3250	1901178
95	3000	1900549
95	2750	1896996
95	2500	1896960
95	2250	1896726
95	2000	1896636
95	1750	1897505
95	1500	1897982
95	1250	1897989
95	1000	1898102
95	750	1897097
95	500	1897145
95	250	1891941
95	100	1893889
95	75	1880543
95	50	1883778
95	25	1891760
95	10000	1900894
95	9750	1899893
95	9500	1900252
95	9250	1900073
95	9000	1900484
95	8750	1900721
95	8500	1901214
95	8250	1900946
95	8000	1901034
95	7750	1900826
95	7500	1900769
95	7250	1900556
95	7000	1900972
95	6750	1900743
95	6500	1900839
95	6250	1900723
95	6000	1900847
95	5750	1900365
95	5500	1900625
95	5250	1900333
95	5000	1897638
95	4750	1897504
95	4500	1897632
95	4250	1897550
95	4000	1897881
95	3750	1897572
95	3500	1897740
95	3250	1897515
95	3000	1897505
95	2750	1900508
95	2500	1901230
95	2250	1900983
95	2000	1899279
95	1750	1897055
95	1500	1897299
95	1250	1896166
95	1000	1896204
95	750	1897122
95	500	1898022
95	250	1895781
95	100	1901594
95	75	1890605
95	50	1891222
95	25	1911569
95	10000	1901156
95	9750	1900737
95	9500	1901013
95	9250	1900896
95	9000	1900835
95	8750	1900865
95	8500	1899578
95	8250	1897776
95	8000	1897756
95	7750	1897604
95	7500	1897629
95	7250	1897724
95	7000	1897943
95	6750	1900415
95	6500	1900571
95	6250	1899995
95	6000	1898100
95	5750	1897916
95	5500	1897991
95	5250	1898100
95	5000	1898096
95	4750	1897980
95	4500	1898923
95	4250	1900267
95	4000	1900438
95	3750	1898211
95	3500	1897995
95	3250	1897971
95	3000	1898336
95	2750	1897884
95	2500	1897647
95	2250	1897735
95	2000	1897630
95	1750	1897389
95	1500	1897550
95	1250	1897518
95	1000	1900419
95	750	1895797
95	500	1901932
95	250	1903900
95	100	1908424
95	75	1892250
95	50	1902558
95	25	1910503
95	10000	1901071
95	9750	1900714
95	9500	1900789
95	9250	1901071
95	9000	1901116
95	8750	1900911
95	8500	1901070
95	8250	1900923
95	8000	1901164
95	7750	1901115
95	7500	1901071
95	7250	1900742
95	7000	1900787
95	6750	1900554
95	6500	1900688
95	6250	1900833
95	6000	1901198
