threshold	alignment_size	SNPs
80	2500	103461
80	2250	99225
80	2000	94868
80	1750	89695
80	1500	83810
80	1250	79716
80	1000	74409
80	750	67185
80	500	57843
80	250	45006
80	100	34767
80	75	32338
80	50	28328
80	25	20631
80	10000	177543
80	9750	176443
80	9500	175039
80	9250	172839
80	9000	171064
80	8750	169398
80	8500	167507
80	8250	166243
80	8000	164617
80	7750	162703
80	7500	161033
80	7250	159846
80	7000	157154
80	6750	155268
80	6500	153485
80	6250	151640
80	6000	149380
80	5750	145959
80	5500	142692
80	5250	140137
80	5000	137574
80	4750	134183
80	4500	130955
80	4250	127316
80	4000	124510
80	3750	121021
80	3500	116348
80	3250	113557
80	3000	109523
80	2750	105609
80	2500	102000
80	2250	98932
80	2000	94605
80	1750	89232
80	1500	83541
80	1250	79108
80	1000	70786
80	750	62472
80	500	54499
80	250	44926
80	100	34210
80	75	31248
80	50	27536
80	25	24015
80	10000	177744
80	9750	176142
80	9500	175060
80	9250	173644
80	9000	172022
80	8750	170726
80	8500	169042
80	8250	166706
80	8000	164626
80	7750	162990
80	7500	161045
80	7250	159183
80	7000	157395
80	6750	155354
80	6500	153083
80	6250	150415
80	6000	147559
80	5750	145095
80	5500	143470
80	5250	140481
80	5000	138233
80	4750	136609
80	4500	133231
80	4250	131283
80	4000	126984
80	3750	123487
80	3500	119673
80	3250	117277
80	3000	114015
80	2750	109646
80	2500	106233
80	2250	100952
80	2000	96773
80	1750	92588
80	1500	87534
80	1250	82559
80	1000	74827
80	750	68817
80	500	57779
80	250	44702
80	100	34794
80	75	30519
80	50	26611
80	25	21604
80	10000	177487
80	9750	176198
80	9500	175012
80	9250	172751
80	9000	169967
80	8750	167963
80	8500	166295
80	8250	165210
80	8000	163753
80	7750	161621
80	7500	159748
80	7250	158139
80	7000	155283
80	6750	153495
80	6500	151334
80	6250	148633
80	6000	146130
80	5750	143513
80	5500	141799
80	5250	139654
80	5000	137494
80	4750	134498
80	4500	131932
80	4250	129295
80	4000	127045
80	3750	124735
80	3500	121694
80	3250	118616
80	3000	114536
80	2750	110321
80	2500	107351
80	2250	102849
80	2000	98351
80	1750	93119
80	1500	87529
80	1250	82231
80	1000	75786
80	750	69175
80	500	60605
80	250	46454
80	100	35526
80	75	31116
80	50	27697
80	25	23214
80	10000	177670
80	9750	176410
80	9500	175143
80	9250	173532
80	9000	171831
80	8750	170118
80	8500	168369
80	8250	166696
80	8000	164910
80	7750	162783
80	7500	160611
80	7250	157361
80	7000	155404
80	6750	153292
80	6500	151829
80	6250	149555
80	6000	147291
80	5750	144722
80	5500	142527
80	5250	139905
80	5000	137477
80	4750	134698
80	4500	131295
80	4250	128040
80	4000	125594
80	3750	120822
80	3500	117623
80	3250	114607
80	3000	111144
80	2750	107426
80	2500	103622
80	2250	100231
80	2000	96252
80	1750	92120
80	1500	87322
80	1250	81157
80	1000	73778
80	750	67509
80	500	56984
80	250	45202
80	100	33145
80	75	30296
80	50	28192
80	25	24302
80	10000	177372
80	9750	176083
80	9500	174184
80	9250	171495
80	9000	170049
80	8750	168197
80	8500	166627
80	8250	164966
80	8000	163104
80	7750	161648
80	7500	159763
80	7250	157533
80	7000	155220
80	6750	153232
80	6500	151112
80	6250	149527
80	6000	147963
80	5750	145495
80	5500	143595
80	5250	141322
80	5000	138556
80	4750	135910
80	4500	132423
80	4250	129949
80	4000	127174
80	3750	124417
80	3500	119256
80	3250	115393
80	3000	112171
80	2750	108228
80	2500	102770
80	2250	96934
80	2000	93256
80	1750	88272
80	1500	83041
80	1250	77088
80	1000	71341
80	750	65194
80	500	56221
80	250	42223
80	100	33733
80	75	31866
80	50	27178
80	25	21119
80	10000	177124
80	9750	175716
80	9500	174006
80	9250	172440
80	9000	170788
80	8750	169407
80	8500	167008
80	8250	164778
80	8000	163219
80	7750	160915
80	7500	159188
80	7250	157187
80	7000	154838
80	6750	152770
80	6500	151127
80	6250	148265
80	6000	146708
80	5750	144802
80	5500	142670
80	5250	139762
80	5000	137399
80	4750	134110
80	4500	131391
80	4250	127573
80	4000	124623
80	3750	119521
80	3500	115940
80	3250	112870
80	3000	110231
80	2750	107832
80	2500	105442
80	2250	101403
80	2000	96333
80	1750	91944
80	1500	87770
