threshold	alignment_size	SNPs
95	2250	27513
95	2000	25917
95	1750	23792
95	1500	21990
95	1250	19661
95	1000	17426
95	750	14884
95	500	12238
95	250	8419
95	100	5265
95	75	4435
95	50	3194
95	25	2644
95	10000	64787
95	9750	64076
95	9500	63501
95	9250	62615
95	9000	61652
95	8750	60883
95	8500	60045
95	8250	59207
95	8000	57769
95	7750	56744
95	7500	55823
95	7250	55033
95	7000	54035
95	6750	52946
95	6500	51710
95	6250	50691
95	6000	49770
95	5750	48483
95	5500	46428
95	5250	45197
95	5000	44135
95	4750	42828
95	4500	41610
95	4250	40385
95	4000	39127
95	3750	37645
95	3500	35863
95	3250	34527
95	3000	32684
95	2750	31018
95	2500	29224
95	2250	27494
95	2000	25492
95	1750	23960
95	1500	22053
95	1250	19688
95	1000	17094
95	750	14837
95	500	11907
95	250	8245
95	100	5017
95	75	4480
95	50	3182
95	25	1949
95	10000	65096
95	9750	64080
95	9500	63494
95	9250	62434
95	9000	61692
95	8750	61003
95	8500	59400
95	8250	58085
95	8000	57125
95	7750	56059
95	7500	55195
95	7250	54199
95	7000	53127
95	6750	52189
95	6500	51007
95	6250	49848
95	6000	48606
95	5750	47357
95	5500	46094
95	5250	45343
95	5000	44075
95	4750	42940
95	4500	41524
95	4250	40205
95	4000	38907
95	3750	37295
95	3500	35898
95	3250	34441
95	3000	32788
95	2750	31150
95	2500	29291
95	2250	27655
95	2000	25724
95	1750	24152
95	1500	22191
95	1250	18761
95	1000	15932
95	750	13540
95	500	10613
95	250	6798
95	100	4491
95	75	3922
95	50	2776
95	25	2129
95	10000	64637
95	9750	63075
95	9500	62235
95	9250	61243
95	9000	60238
95	8750	59236
95	8500	58387
95	8250	57500
95	8000	56166
95	7750	55054
95	7500	53742
95	7250	52789
95	7000	51862
95	6750	50779
95	6500	49780
95	6250	48355
95	6000	47144
95	5750	45764
95	5500	44622
95	5250	43394
95	5000	42254
95	4750	41035
95	4500	39975
95	4250	38837
95	4000	37476
95	3750	35376
95	3500	33482
95	3250	32054
95	3000	30497
95	2750	29393
95	2500	27862
95	2250	26049
95	2000	24512
95	1750	22547
95	1500	20954
95	1250	18564
95	1000	16103
95	750	13273
95	500	10055
95	250	7102
95	100	4603
95	75	3934
95	50	2801
95	25	1513
95	10000	64157
95	9750	63309
95	9500	62315
95	9250	61536
95	9000	60716
95	8750	59895
95	8500	59100
95	8250	58338
95	8000	57301
95	7750	56330
95	7500	55644
95	7250	54759
95	7000	53626
95	6750	52458
95	6500	51467
95	6250	50037
95	6000	48645
95	5750	47672
95	5500	46627
95	5250	45531
95	5000	44184
95	4750	42845
95	4500	41252
95	4250	39934
95	4000	38630
95	3750	36876
95	3500	35478
95	3250	33587
95	3000	32154
95	2750	30610
95	2500	28312
95	2250	26480
95	2000	24856
95	1750	23218
95	1500	21824
95	1250	19370
95	1000	17109
95	750	14794
95	500	11259
95	250	7607
95	100	4552
95	75	3768
95	50	3378
95	25	2336
95	10000	64608
95	9750	63745
95	9500	62948
95	9250	61889
95	9000	61215
95	8750	60039
95	8500	59148
95	8250	58381
95	8000	57148
95	7750	56266
95	7500	55211
95	7250	54151
95	7000	52944
95	6750	52132
95	6500	50956
95	6250	49758
95	6000	48686
95	5750	47261
95	5500	45972
95	5250	44884
95	5000	43599
95	4750	42416
95	4500	41008
95	4250	39704
95	4000	38625
95	3750	37117
95	3500	35730
95	3250	33847
95	3000	32369
95	2750	30446
95	2500	28293
95	2250	26588
95	2000	25074
95	1750	23063
95	1500	20823
95	1250	18637
95	1000	16103
95	750	13103
95	500	10287
95	250	6348
95	100	3527
95	75	2852
95	50	2441
95	25	1202
95	10000	64954
95	9750	63905
95	9500	62732
95	9250	61990
95	9000	61217
95	8750	59824
95	8500	58739
95	8250	57626
95	8000	56746
95	7750	55396
95	7500	54577
95	7250	53620
95	7000	52373
95	6750	51386
95	6500	50235
95	6250	49014
95	6000	48056
95	5750	46611
95	5500	45421
95	5250	44222
95	5000	43142
95	4750	41547
95	4500	40127
95	4250	39069
95	4000	37817
95	3750	36607
95	3500	35216
95	3250	33938
95	3000	32476
95	2750	30758
95	2500	29086
95	2250	27498
95	2000	25839
95	1750	23732
95	1500	21497
95	1250	19286
95	1000	17039
95	750	14180
95	500	12221
95	250	9293
95	100	5355
95	75	4076
95	50	2951
95	25	2273
95	10000	64898
95	9750	64054
95	9500	62902
95	9250	62142
95	9000	61473
95	8750	60328
95	8500	59364
95	8250	58434
95	8000	56986
95	7750	56063
95	7500	55058
95	7250	54054
95	7000	52562
95	6750	51440
95	6500	50457
95	6250	49497
95	6000	48592
95	5750	47353
95	5500	46158
95	5250	45193
95	5000	44141
95	4750	42728
95	4500	41744
95	4250	40514
95	4000	38752
95	3750	36930
95	3500	35283
95	3250	34172
95	3000	33029
95	2750	31576
95	2500	29505
95	2250	27952
95	2000	25987
95	1750	24277
95	1500	22390
95	1250	20549
95	1000	17671
95	750	15339
95	500	12753
95	250	7678
95	100	4596
95	75	3365
95	50	2736
95	25	1468
95	10000	64323
95	9750	63528
95	9500	62333
95	9250	61188
95	9000	60021
95	8750	59033
95	8500	58457
95	8250	57387
95	8000	56546
95	7750	55694
95	7500	54689
95	7250	53635
95	7000	52431
95	6750	51409
95	6500	50256
95	6250	48647
95	6000	47703
95	5750	46572
95	5500	45552
95	5250	43682
95	5000	42371
95	4750	40765
95	4500	39428
95	4250	38312
95	4000	36676
95	3750	35181
95	3500	33941
95	3250	32499
95	3000	31022
95	2750	29451
95	2500	27909
95	2250	26470
95	2000	24927
95	1750	22737
95	1500	20909
95	1250	18744
95	1000	16140
